customer_id,has_partner,has_dependents
4445-ZJNMU,No,No
4808-YNLEU,Yes,No
1862-QRWPE,Yes,Yes
2796-NNUFI,Yes,Yes
3016-KSVCP,Yes,No
4767-HZZHQ,Yes,Yes
2424-WVHPL,No,No
7233-PAHHL,Yes,Yes
6067-NGCEU,No,No
9848-JQJTX,No,No
8637-XJIVR,No,No
9803-FTJCG,Yes,Yes
0278-YXOOG,No,No
3212-KXOCR,No,No
4598-XLKNJ,Yes,No
6380-ARCEH,No,No
3679-XASPY,Yes,Yes
7123-WQUHX,No,No
5386-THSLQ,Yes,No
3192-NQECA,Yes,No
6180-YBIQI,No,No
6728-DKUCO,Yes,Yes
9750-BOOHV,No,No
8597-CWYHH,No,No
2848-YXSMW,Yes,Yes
0486-HECZI,Yes,No
4549-ZDQYY,No,No
5712-AHQNN,No,No
4846-WHAFZ,Yes,No
5256-SKJGO,Yes,Yes
3071-VBYPO,Yes,Yes
9560-BBZXK,No,No
5299-RULOA,Yes,Yes
8402-OOOHJ,No,No
9445-ZUEQE,Yes,Yes
1091-SOZGA,Yes,Yes
2928-HLDBA,No,No
0404-SWRVG,No,No
6497-TILVL,Yes,Yes
7219-TLZHO,Yes,Yes
4622-YNKIJ,No,No
4412-YLTKF,No,No
6734-PSBAW,Yes,No
3930-ZGWVE,No,No
2639-UGMAZ,No,No
2876-GZYZC,No,No
6207-WIOLX,Yes,Yes
8587-XYZSF,No,No
3091-FYHKI,No,No
2372-HWUHI,No,No
7799-LGRDP,No,No
7850-VWJUU,No,No
3774-VBNXY,Yes,Yes
6217-KDYWC,No,Yes
0390-DCFDQ,Yes,No
3146-MSEGF,Yes,Yes
4080-OGPJL,No,No
1095-WGNGG,Yes,No
2636-SJDOU,No,No
1131-QQZEB,Yes,No
5716-EZXZN,Yes,Yes
6837-BJYDQ,No,No
2135-RXIHG,No,No
6440-DKQGE,No,Yes
3466-BYAVD,Yes,Yes
3780-YVMFA,Yes,Yes
3874-EQOEP,No,No
1679-JRFBR,Yes,Yes
9073-ZZIAY,Yes,Yes
3077-RSNTJ,Yes,Yes
6551-GNYDG,Yes,Yes
9167-APMXZ,No,No
2749-CTKAJ,Yes,Yes
6371-NZYEG,Yes,Yes
7554-NEWDD,No,No
8992-VONJD,No,Yes
0867-MKZVY,Yes,No
4482-EWFMI,No,No
4648-YPBTM,No,No
2907-ILJBN,Yes,Yes
6345-FZOQH,Yes,No
3376-BMGFE,No,No
5997-OPVFA,Yes,No
3445-HXXGF,Yes,No
1159-WFSGR,Yes,Yes
7654-YWJUF,Yes,No
1875-QIVME,Yes,No
6727-IOTLZ,Yes,No
0691-JVSYA,Yes,No
5918-VUKWP,No,No
1744-JHKYS,Yes,No
2656-FMOKZ,No,No
2070-FNEXE,No,No
5947-SGKCL,Yes,Yes
3712-PKXZA,Yes,No
6317-YPKDH,No,No
6582-OIVSP,No,No
9367-WXLCH,No,No
5524-KHNJP,Yes,Yes
1918-ZBFQJ,No,No
1024-GUALD,Yes,No
4827-USJHP,No,No
8167-GJLRN,No,No
0956-SYCWG,No,No
8017-UVSZU,Yes,No
7100-FQPRV,Yes,Yes
2472-OVKUP,Yes,No
2984-RGEYA,Yes,Yes
9680-NIAUV,Yes,Yes
2146-EGVDT,Yes,Yes
2604-IJPDU,Yes,No
9178-JHUVJ,Yes,Yes
6168-YBYNP,No,No
7255-SSFBC,Yes,Yes
3645-DEYGF,No,Yes
9323-HGFWY,Yes,No
8544-GOQSH,No,No
3363-DTIVD,Yes,Yes
7018-WBJNK,No,Yes
9142-KZXOP,No,No
7674-YTAFD,No,No
6348-SNFUS,Yes,Yes
1285-OKIPP,No,No
7825-ECJRF,No,No
1347-KTTTA,Yes,No
7841-TZDMQ,No,No
4195-NZGTA,No,No
7157-SMCFK,No,Yes
4709-LKHYG,Yes,Yes
2504-DSHIH,Yes,No
0699-NDKJM,Yes,No
9286-BHDQG,Yes,Yes
0230-WEQUW,Yes,No
2040-LDIWQ,Yes,Yes
6496-JDSSB,No,No
9408-SSNVZ,No,No
4443-EMBNA,Yes,No
6469-MRVET,Yes,Yes
0742-MOABM,Yes,No
5961-VUSRV,No,No
6778-JFCMK,No,No
6341-JVQGF,Yes,Yes
2232-DMLXU,Yes,No
4811-JBUVU,No,No
0945-TSONX,Yes,Yes
2651-ZCBXV,No,No
3316-UWXUY,No,No
8937-RDTHP,No,No
7083-MIOPC,No,No
1984-GPTEH,No,No
1251-KRREG,No,No
0621-JFHOL,No,No
9903-LYSAB,Yes,No
0094-OIFMO,No,No
9227-UAQFT,No,No
7301-ABVAD,No,No
6614-FHDBO,No,No
7576-ASEJU,Yes,Yes
9058-HRZSV,Yes,No
4522-AKYLR,No,No
0221-WMXNQ,No,No
0303-UNCIP,No,No
9947-OTFQU,No,No
0322-YINQP,No,No
0959-WHOKV,No,No
4075-JFPGR,Yes,No
4629-NRXKX,Yes,Yes
9514-JDSKI,Yes,No
3282-ZISZV,No,Yes
3675-YDUPJ,No,No
4111-BNXIF,Yes,Yes
7017-VFHAY,Yes,Yes
6655-LHBYW,No,No
4959-JOSRX,Yes,No
5046-NUHWD,Yes,No
7273-TEFQD,No,No
3606-TWKGI,No,No
7529-ZDFXI,Yes,No
7605-BDWDC,No,No
1950-KSVVJ,Yes,No
0123-CRBRT,Yes,Yes
6292-TOSSS,No,No
3197-ARFOY,No,No
6323-AYBRX,No,No
7014-ZZXAW,Yes,No
4385-GZQXV,No,No
7633-MVPUY,Yes,No
6366-ZGQGL,No,No
4716-HHKQH,Yes,No
5940-AHUHD,No,No
6432-TWQLB,Yes,No
4484-GLZOU,Yes,No
3179-GBRWV,Yes,No
8645-KWHJO,No,No
4130-MZLCC,No,No
0314-TKOSI,No,No
8229-MYEJZ,No,No
2080-SRCDE,No,Yes
9577-WJVCQ,No,No
9512-UIBFX,Yes,Yes
6202-DYYFX,No,No
3808-HFKDE,No,No
5583-SXDAG,Yes,No
3488-PGMQJ,No,No
3580-REOAC,No,No
7534-BFESC,No,No
3727-OWVYD,No,No
2294-SALNE,Yes,Yes
4847-TAJYI,No,No
1563-IWQEX,No,No
8203-XJZRC,No,No
6556-DBKZF,Yes,Yes
6851-WEFYX,Yes,No
2985-JUUBZ,Yes,Yes
6390-DSAZX,No,Yes
0895-LMRSF,No,No
8098-LLAZX,No,No
8266-VBFQL,No,No
8181-YHCMF,Yes,Yes
2240-HSJQD,No,Yes
1248-DYXUB,Yes,Yes
0265-EDXBD,Yes,No
4115-BNPJY,Yes,Yes
3167-SNQPL,Yes,Yes
4091-TVOCN,No,Yes
1098-TDVUQ,No,No
7277-OZCGZ,No,No
1557-EMYVT,No,No
2799-ARNLO,Yes,No
7563-BIUPC,No,No
5027-YOCXN,Yes,Yes
3973-SKMLN,No,No
2321-OMBXY,Yes,Yes
2840-XANRC,Yes,No
6745-JEFZB,Yes,No
5020-ZSTTY,No,No
9880-TDQAC,Yes,Yes
8705-WZCYL,No,No
7102-JJVTX,Yes,Yes
8626-PTQGE,No,No
4983-CLMLV,Yes,No
5701-YVSVF,Yes,No
5804-LEPIM,No,No
5697-GOMBF,Yes,Yes
2739-CACDQ,No,No
9385-EHGDO,Yes,Yes
9498-FIMXL,No,No
2379-GYFLQ,No,No
0122-OAHPZ,No,No
2868-SNELZ,No,No
4322-RCYMT,Yes,Yes
6680-NENYN,No,No
2088-IEBAU,No,No
7982-VCELR,No,No
1343-EHPYB,Yes,No
6035-BXTTY,No,No
6885-PKOAM,Yes,No
7520-HQWJU,Yes,Yes
9639-BUJXT,No,No
5924-SNGKP,No,Yes
0021-IKXGC,No,No
2034-GDRCN,No,No
8966-SNIZF,Yes,No
6243-OZGFH,No,No
4654-DLAMQ,Yes,No
0513-RBGPE,Yes,Yes
5160-UXJED,No,Yes
4115-NZRKS,No,No
0219-YTZUE,Yes,Yes
0623-IIHUG,No,No
4572-DVCGN,No,No
3351-NGXYI,No,No
8984-EYLLL,Yes,No
9057-MSWCO,Yes,No
9833-TGFHX,Yes,Yes
9294-TDIPC,No,Yes
5229-DTFYB,No,No
0104-PPXDV,Yes,No
5176-LMJXE,No,No
3583-KRKMD,No,No
1010-DIAUQ,No,No
9069-LGEUL,Yes,No
7302-ZHMHP,No,No
9571-EDEBV,Yes,No
3520-FJGCV,Yes,Yes
6563-VRERX,Yes,Yes
0259-GBZSH,No,No
6122-EFVKN,No,Yes
2805-EDJPQ,Yes,Yes
6862-CQUMB,No,No
7156-MXBJE,No,No
6158-HDPXZ,No,No
9601-BRXPO,Yes,No
2863-IMQDR,No,No
5686-CMAWK,No,No
5651-CRHKQ,Yes,No
6905-NIQIN,No,No
8204-YJCLA,Yes,Yes
5167-ZFFMM,No,No
6583-SZVGP,No,No
4895-TMWIR,Yes,No
0533-BNWKF,Yes,No
1708-PBBOA,No,No
8782-LKFPK,No,No
5522-JBWMO,No,Yes
3597-MVHJT,No,No
9774-NRNAU,Yes,No
0224-RLWWD,No,No
9967-ATRFS,No,No
3951-NJCVI,Yes,No
2977-CEBSX,No,No
0177-PXBAT,Yes,No
6599-CEBNN,No,No
2519-ERQOJ,No,No
5876-QMYLD,Yes,Yes
2277-AXSDC,No,No
9442-JTWDL,No,No
0979-PHULV,Yes,Yes
3067-SVMTC,Yes,No
5495-GPSRW,No,No
7606-BPHHN,No,No
4742-DRORA,Yes,Yes
0111-KLBQG,Yes,Yes
4800-VHZKI,No,No
7989-CHGTL,No,No
0334-GDDSO,No,No
4163-NCJAK,Yes,No
5233-AOZUF,Yes,No
5973-EJGDP,No,No
1996-DBMUS,Yes,No
7916-VCCPB,Yes,Yes
4686-GEFRM,Yes,No
5249-QYHEX,Yes,Yes
0578-SKVMF,Yes,Yes
5564-NEMQO,No,No
2233-FAGXV,Yes,Yes
5605-IYGFG,No,No
7663-ZTEGJ,No,Yes
3935-TBRZZ,Yes,Yes
8111-BKVDS,No,No
2055-SIFSS,Yes,No
2806-MLNTI,Yes,No
8734-DKSTZ,Yes,Yes
4360-PNRQB,No,No
6152-ONASV,Yes,No
9063-ZGTUY,Yes,Yes
7781-HVGMK,Yes,Yes
2181-UAESM,No,No
2957-LOLHO,No,No
6048-NJXHX,Yes,No
2320-SLKMB,No,No
4980-URKXC,Yes,No
4376-KFVRS,Yes,Yes
5886-VLQVU,Yes,No
3577-AMVUX,No,No
0771-WLCLA,Yes,Yes
5628-RKIFK,No,No
0206-TBWLC,Yes,No
2937-FTHUR,No,Yes
1910-FMXJM,Yes,No
7752-XUSCI,No,No
4110-PFEUZ,No,No
0732-OCQOC,Yes,Yes
5168-MSWXT,Yes,Yes
1090-ESELR,Yes,Yes
8592-PLTMQ,No,No
5760-WRAHC,No,No
8847-GEOOQ,Yes,No
0256-LTHVJ,Yes,Yes
4785-FCIFB,Yes,No
8313-NDOIA,No,No
5149-CUZUJ,Yes,Yes
0942-KOWSM,Yes,Yes
4237-CLSMM,Yes,No
1452-VOQCH,No,No
4719-UMSIY,No,Yes
6614-VBEGU,Yes,No
0880-TKATG,Yes,Yes
3811-VBYBZ,No,No
1480-BKXGA,Yes,No
2996-XAUVF,No,No
9076-AXYIK,Yes,No
5968-XQIVE,Yes,Yes
8896-RAZCR,No,Yes
4640-UHDOS,Yes,Yes
4933-IKULF,No,No
3583-EKAPL,No,No
1304-BCCFO,Yes,No
4104-PVRPS,Yes,No
9399-APLBT,Yes,Yes
2359-KMGLI,No,No
3780-DDGSE,Yes,Yes
4431-EDMIQ,Yes,Yes
0306-JAELE,No,No
6227-HWPWX,No,Yes
0486-LGCCH,Yes,Yes
0447-BEMNG,Yes,No
4612-SSVHJ,No,No
5168-MQQCA,Yes,No
5949-XIKAE,Yes,Yes
7971-HLVXI,Yes,Yes
9094-AZPHK,No,No
3649-JPUGY,No,No
4472-LVYGI,Yes,Yes
8372-JUXUI,No,Yes
3552-CTCYF,Yes,Yes
6778-YSNIH,No,No
0388-EOPEX,Yes,No
5756-OZRIO,Yes,No
6579-JPICP,No,No
8205-OTCHB,No,No
4134-BSXLX,Yes,No
0505-SPOOW,Yes,No
6235-VDHOM,No,No
7783-YKGDV,No,No
4374-YMUSQ,No,No
4513-CXYIX,Yes,No
3957-HHLMR,Yes,Yes
7803-XOCCZ,Yes,Yes
5736-YEJAX,No,Yes
5609-CEBID,No,No
8981-FJGLA,No,Yes
7218-HKQFK,Yes,No
4636-QRJKY,Yes,Yes
1135-LMECX,No,No
4332-MUOEZ,Yes,Yes
8535-SFUTN,No,No
5956-VKDTT,Yes,No
8677-HDZEE,No,No
2475-MROZF,No,No
9412-GHEEC,No,No
3482-ABPKK,No,No
6705-LXORM,Yes,No
0257-ZESQC,Yes,No
7531-GQHME,No,No
5174-ITUMV,Yes,Yes
4109-CYRBD,Yes,No
0913-XWSCN,Yes,Yes
6825-UYPFK,No,No
8397-MVTAZ,Yes,No
0750-EBAIU,No,No
8606-CIQUL,Yes,Yes
3571-DPYUH,Yes,Yes
7601-GNDYK,Yes,Yes
0356-OBMAC,No,No
8067-NIOYM,Yes,Yes
1403-GYAFU,Yes,Yes
4234-XTNEA,No,No
1297-VQDRP,Yes,Yes
9282-IZGQK,No,No
5348-CAGXB,No,No
0621-HJWXJ,Yes,No
5844-QVTAT,Yes,Yes
8905-IAZPF,Yes,No
5394-MEITZ,Yes,Yes
6859-QNXIQ,Yes,Yes
2782-LFZVW,No,No
2866-IKBTM,No,No
1342-JPNKI,No,No
2817-NTQDO,No,No
7129-AZJDE,Yes,Yes
6986-IJDHX,Yes,Yes
2560-PPCHE,No,No
4676-MQUEA,Yes,No
8138-EALND,No,No
3580-HYCSP,Yes,Yes
1352-HNSAW,Yes,Yes
2075-PUEPR,Yes,Yes
1982-FEBTD,Yes,Yes
5301-GAUUY,No,No
5791-KAJFD,Yes,Yes
2654-VBVPB,No,No
1154-HYWWO,No,No
2501-XWWTZ,No,No
3716-UVSPD,No,No
6815-ABQFQ,Yes,No
7343-EOBEU,Yes,No
3701-SFMUH,Yes,Yes
6103-LIANB,Yes,Yes
7319-VENRZ,No,No
5846-NEQVZ,Yes,Yes
6967-QIQRV,Yes,Yes
5781-RFZRP,Yes,No
0939-YAPAF,No,No
0308-IVGOK,No,No
7293-LSCDV,Yes,Yes
7025-WCBNE,No,No
5756-JYOJT,No,No
4710-FDUIZ,Yes,No
6030-REHUX,Yes,No
9548-LIGTA,Yes,No
5150-LJNSR,Yes,Yes
8270-RKSAP,No,No
6522-YRBXD,Yes,No
2640-LYMOV,No,No
1218-VKFPE,Yes,Yes
3627-FHKBK,No,No
2865-TCHJW,No,No
1423-BMPBQ,Yes,Yes
2393-DIVAI,No,No
5192-EBGOV,No,No
4568-KNYWR,No,No
8752-IMQOS,Yes,Yes
0742-LAFQK,Yes,No
0795-LAFGP,Yes,Yes
0619-OLYUR,Yes,No
5512-IDZEI,Yes,Yes
0459-SPZHJ,Yes,Yes
0215-BQKGS,No,No
9244-ZVAPM,No,No
0719-SYFRB,No,No
8208-EUMTE,No,No
5172-MIGPM,No,No
1710-RCXUS,Yes,No
0374-FIUCA,Yes,No
5839-SUYVZ,No,No
5173-ZXXXL,No,No
1096-ADRUX,Yes,Yes
2001-MCUUW,No,No
2731-GJRDG,No,No
4723-BEGSG,Yes,No
6516-NKQBO,Yes,Yes
8672-OAUPW,No,Yes
8207-DMRVL,Yes,Yes
3419-SNJJD,Yes,No
6543-CPZMK,Yes,Yes
4765-OXPPD,Yes,Yes
2804-ETQDK,No,Yes
6689-VRRTK,No,No
7138-GIRSH,No,No
9396-ZSFLL,No,No
6464-KEXXH,No,No
7134-MJPDY,No,No
5240-CAOYT,No,No
4059-IIEBK,No,No
4881-JVQOD,Yes,Yes
0516-UXRMT,No,No
4851-BQDNX,Yes,Yes
5148-HKFIR,No,No
1009-IRMNA,No,No
3003-CMDUU,Yes,No
5016-IBERQ,Yes,No
6797-UCJHZ,Yes,No
2469-DTSGX,No,No
4554-YGZIH,Yes,No
5099-BAILX,Yes,Yes
9931-KGHOA,Yes,No
1775-KWJKQ,Yes,Yes
7665-VIGUD,No,No
9411-TPQQV,No,No
7207-RMRDB,Yes,Yes
7954-MLBUN,No,No
2077-DDHJK,Yes,No
4913-EHYUI,Yes,Yes
0195-IESCP,Yes,No
9574-BOSMD,Yes,Yes
4580-TMHJU,Yes,Yes
0970-ETWGE,No,No
4908-XAXAY,No,No
8404-VLQFB,Yes,Yes
1626-ERCMM,Yes,No
0887-HJGAR,No,No
2391-IPLOP,Yes,Yes
5644-PDMZC,No,No
3509-GWQGF,No,No
9576-ANLXO,No,No
2024-BASKD,No,No
5845-BZZIB,Yes,Yes
1140-UKVZG,No,No
4160-AMJTL,No,No
5183-SNMJQ,No,No
8100-PNJMH,Yes,Yes
7838-LAZFO,Yes,No
4464-JCOLN,Yes,Yes
2085-JVGAD,Yes,No
5650-VDUDS,No,No
8095-WANWK,No,No
3030-ZKIWL,No,No
9565-FLVCG,Yes,Yes
8755-OGKNA,Yes,Yes
2800-VEQXM,No,No
7538-GWHML,No,No
5533-RJFTJ,No,No
3859-CVCET,No,No
0214-JHPFW,Yes,No
5642-MHDQT,Yes,Yes
3088-FVYWK,Yes,Yes
3276-HDUEG,No,No
9092-GDZKO,No,No
0823-HSCDJ,No,No
3729-OWRVL,No,No
2324-AALNO,No,No
0822-GAVAP,No,No
5760-IFJOZ,No,No
2826-UWHIS,Yes,No
1448-PWKYE,Yes,Yes
7501-IWUNG,Yes,Yes
4957-TREIR,No,No
7251-LJBQN,No,No
8040-MNRTF,No,No
1536-HBSWP,No,No
5313-FPXWG,No,No
0067-DKWBL,No,No
0946-FKYTX,No,No
5076-YVXCM,No,No
8262-COGGB,No,No
6663-JOCQO,Yes,Yes
9620-QJREV,No,Yes
2276-YDAVZ,No,No
2682-KEVRP,No,No
2480-JZOSN,Yes,No
0078-XZMHT,Yes,No
5896-NPFWW,Yes,Yes
9978-HYCIN,Yes,Yes
8338-QIUNR,Yes,Yes
1525-LNLOJ,Yes,Yes
9450-TRJUU,No,No
1766-GKNMI,No,No
6942-LBFDP,No,No
1456-TWCGB,No,No
7133-VBDCG,No,No
7596-ZYWBB,No,No
8329-UTMVM,No,No
3014-WJKSM,Yes,No
3347-YJZZE,Yes,Yes
1029-QFBEN,No,No
7929-DMBCV,Yes,No
9661-JALZV,No,No
5433-KYGHE,No,Yes
4312-KFRXN,Yes,No
5575-TPIZQ,No,No
0114-IGABW,Yes,No
9944-AEXBM,No,No
1853-ARAAQ,No,No
6952-OMNWB,Yes,No
4697-LUPSU,Yes,Yes
8434-VGEQQ,Yes,Yes
4952-YSOGZ,Yes,Yes
1589-AGTLK,No,No
5244-IRFIH,Yes,No
6549-YMFAW,Yes,No
4950-HKQTE,No,No
6786-OBWQR,Yes,Yes
2684-EIWEO,No,No
2753-JMMCV,No,No
6439-GTPCA,No,No
6621-YOBKI,No,No
1216-JWVUX,Yes,Yes
7564-GHCVB,Yes,Yes
1173-NOEYG,Yes,No
7595-EHCDL,Yes,Yes
6647-ZEDXT,No,No
2521-NPUZR,Yes,No
1307-TVUFB,No,No
7503-MIOGA,Yes,No
4381-MHQDC,No,No
6923-JHPMP,No,No
5138-WVKYJ,No,No
4018-PPNDW,Yes,Yes
1635-FJFCC,No,No
2499-AJYUA,Yes,No
6919-ELBGL,Yes,Yes
3966-HRMZA,No,No
6425-JWTDV,Yes,No
8405-IGQFX,No,No
8224-IVVPA,No,No
9477-LGWQI,Yes,Yes
1410-RSCMR,Yes,Yes
3115-CZMZD,No,Yes
0139-IVFJG,Yes,No
6683-VLCTZ,No,No
5730-DBDSI,No,No
0030-FNXPP,No,No
2189-WWOEW,No,Yes
5684-FJVYR,Yes,Yes
4013-GUXND,No,No
1894-IGFSG,No,No
7379-POKDZ,Yes,No
1266-NZYUI,Yes,Yes
7969-FFOWG,Yes,Yes
4718-DHSMV,No,No
5175-WLYXL,No,No
7817-OMJNA,No,No
8728-SKJLR,No,No
3137-NYQQI,Yes,No
7706-DZNKK,No,No
0236-HFWSV,No,No
3900-AQPHZ,No,No
5842-POCOP,Yes,No
2037-XJFUP,Yes,No
8823-RLPWL,Yes,No
9505-SQFSW,Yes,Yes
7314-OXENN,No,No
3758-CKOQL,Yes,No
0322-CHQRU,No,No
5676-CFLYY,Yes,Yes
7521-AFHAB,Yes,Yes
0285-INHLN,Yes,Yes
4678-DVQEO,No,No
5125-CNDSP,No,Yes
0691-IFBQW,No,No
4992-LTJNE,Yes,Yes
2202-OUTMO,Yes,No
0810-BDHAW,Yes,Yes
0229-LFJAF,No,No
7131-ZQZNK,Yes,Yes
3442-ZHHCC,No,No
5726-CVNYA,Yes,Yes
9871-ELEYA,No,Yes
4257-GAESD,No,No
5173-WXOQV,Yes,No
2040-OBMLJ,No,No
6286-ZHAOK,Yes,Yes
3807-XHCJH,Yes,Yes
3009-JWMPU,No,No
5671-RQRLP,Yes,No
1450-GALXR,No,No
8859-AXJZP,Yes,Yes
3174-AKMAS,Yes,No
3138-BKYAV,No,No
9926-PJHDQ,Yes,Yes
7382-DFJTU,No,No
2798-NYLMZ,Yes,No
4289-DTDKW,Yes,No
1820-TQVEV,No,No
2239-JALAW,No,No
4853-RULSV,No,No
8098-TDCBU,Yes,No
3551-GAEGL,Yes,Yes
4785-NKHCX,No,No
3196-NVXLZ,No,No
6275-YDUVO,No,No
0036-IHMOT,Yes,Yes
0115-TFERT,Yes,No
4178-EGMON,Yes,No
4220-TINQT,Yes,No
5318-YKDPV,Yes,Yes
7975-TZMLR,No,No
0295-QVKPB,No,No
4335-BSMJS,No,No
2311-QYMUQ,Yes,Yes
3643-AHCFP,Yes,No
9146-JRIOX,Yes,Yes
3104-OWCGK,Yes,Yes
5337-IIWKZ,Yes,Yes
9101-BWFSS,Yes,No
9650-VBUOG,Yes,Yes
3487-EARAT,Yes,Yes
2672-TGEFF,Yes,Yes
9231-ZJYAM,No,No
4250-WAROZ,Yes,Yes
8184-WMOFI,Yes,Yes
6982-SSHFK,No,No
6092-QZVPP,No,No
4625-LAMOB,No,No
0727-BMPLR,No,No
0392-BZIUW,Yes,No
1038-ZAGBI,Yes,Yes
6549-NNDYT,No,No
3027-ZTDHO,No,No
0422-OHQHQ,Yes,Yes
6916-HIJSE,No,No
2316-ESMLS,Yes,Yes
9778-OGKQZ,Yes,No
7408-OFWXJ,Yes,Yes
6007-TCTST,Yes,Yes
2252-NKNSI,No,Yes
8713-IGZSO,No,No
7905-TVXTA,No,No
7695-PKLCZ,No,No
2382-BCKQJ,No,Yes
8374-UULRV,No,No
2207-NHRJK,No,No
3224-DFQNQ,Yes,No
5275-PMFUT,Yes,Yes
4795-UXVCJ,No,No
9777-IQHWP,Yes,Yes
0947-MUGVO,Yes,No
9944-HKVVB,No,No
4124-MMETB,No,No
3671-SHRSP,Yes,No
0979-MOZQI,Yes,No
2732-ISEZX,No,No
3313-QKNKB,Yes,No
0323-XWWTN,No,Yes
1937-OTUKY,Yes,No
1573-LGXBA,Yes,Yes
1764-VUUMT,No,Yes
5073-WXOYN,No,No
4713-ZBURT,No,Yes
3050-GBUSH,No,No
0207-MDKNV,No,No
7876-AEHIG,No,Yes
7945-HLKEA,No,No
9342-VNIMQ,No,No
9851-KIELU,No,No
3523-BRGUW,No,No
3908-BLSYF,No,No
3199-NPKCN,Yes,No
5170-PTRKA,Yes,Yes
4661-NJEUX,No,No
2123-AGEEN,No,No
1258-YMZNM,No,No
0048-LUMLS,Yes,Yes
7549-MYGPK,Yes,Yes
5898-IGSLP,Yes,Yes
3804-RVTGV,Yes,Yes
6259-WJQLC,No,No
9227-LUNBG,No,No
7997-EASSD,Yes,No
0730-KOAVE,No,No
8975-SKGRX,Yes,No
0678-RLHVP,No,No
4315-MURBD,No,No
2267-FPIMA,Yes,No
1051-GEJLJ,No,No
9734-YWGEX,No,No
2719-BDAQO,No,No
5285-MVEHD,Yes,No
0379-DJQHR,Yes,Yes
0781-LKXBR,No,No
5543-QDCRY,No,No
0297-RBCSG,No,No
4694-PHWFW,No,Yes
0835-JKADZ,No,No
1907-UBQFC,No,No
7508-SMHXL,No,No
3865-YIOTT,Yes,Yes
5993-BQHEA,No,No
6024-RUGGH,Yes,Yes
6513-EECDB,Yes,No
3956-CJUST,No,No
4079-WWQQQ,No,No
6103-BOCOU,No,No
5149-TGWDZ,No,No
7471-WNSUF,Yes,No
8942-DBMHZ,No,No
4301-VVZKA,Yes,No
9199-PWQVC,Yes,No
4824-GUCBY,No,No
5393-HJZSM,Yes,Yes
7074-IEVOJ,No,No
9625-QSTYE,No,No
0862-PRCBS,Yes,Yes
8812-ZRHFP,Yes,Yes
5146-CBVOE,No,No
0454-OKRCT,No,No
5787-KXGIY,Yes,No
4750-ZRXIU,No,No
4198-VFOEA,No,No
6630-UJZMY,Yes,No
5709-LVOEQ,Yes,Yes
6400-BWQKW,No,No
2692-AQCPF,Yes,No
0347-UBKUZ,No,No
0835-DUUIQ,No,Yes
0811-GSDTP,No,Yes
7567-ECMCM,No,No
6115-ZTBFQ,Yes,No
6353-BRMMA,Yes,Yes
6680-WKXRZ,No,No
6231-WFGFH,Yes,Yes
9904-EHEVJ,Yes,Yes
7028-DVOIQ,No,No
6169-PPETC,Yes,Yes
4208-UFFGW,No,No
8584-KMVXD,No,No
8467-WYNSR,No,No
