customer_id,contract_type,internet_service,internet_type,phone_service,multiple_lines,online_security,online_backup,device_protection_plan,premium_tech_support,payment_method,paperless_billing
1907-UBQFC,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
6513-EECDB,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7074-IEVOJ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
4750-ZRXIU,Month-to-Month,Yes,Cable,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7028-DVOIQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
4208-UFFGW,Month-to-Month,Yes,DSL,Yes,No,No,No,No,No,Credit Card,No
9889-TMAHG,Month-to-Month,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Credit Card,No
8919-FYFQZ,Month-to-Month,Yes,Cable,No,No,No,Yes,No,No,Bank Withdrawal,Yes
6646-QVXLR,One Year,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
9369-XFEHK,Month-to-Month,Yes,Cable,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
1374-DMZUI,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
1989-PRJHP,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4822-RVYBB,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
4184-TJFAN,Month-to-Month,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Mailed Check,Yes
4145-UQXUQ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
1236-WFCDV,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Credit Card,No
1271-SJBGZ,Month-to-Month,Yes,DSL,No,No,No,No,Yes,Yes,Bank Withdrawal,Yes
4441-NIHPT,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
8999-BOHSE,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,No
7029-RPUAV,Month-to-Month,Yes,Cable,Yes,Yes,No,No,Yes,No,Credit Card,Yes
8111-SLLHI,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
5293-WXJAK,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Bank Withdrawal,Yes
4086-YQSNZ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
8399-YNDCH,Month-to-Month,Yes,DSL,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
5565-FILXA,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4187-CINZD,One Year,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Credit Card,No
6818-WOBHJ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
9134-CEQMF,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
8519-IMDHU,Month-to-Month,Yes,Cable,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3372-KWFBM,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7206-GZCDC,Month-to-Month,Yes,Cable,Yes,No,No,No,No,No,Bank Withdrawal,Yes
1768-ZAIFU,Month-to-Month,Yes,Cable,No,No,No,No,No,No,Bank Withdrawal,Yes
3793-MMFUH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
6567-HOOPW,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
8621-MNIHH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
5419-CONWX,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Credit Card,Yes
7024-OHCCK,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
5357-TZHPP,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
0506-LVNGN,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Credit Card,Yes
9809-IMGCQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3254-YRILK,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
0529-ONKER,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,No
5240-IJOQT,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
0661-XEYAN,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Mailed Check,Yes
2660-EMUBI,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7675-OZCZG,Month-to-Month,Yes,DSL,Yes,No,No,No,No,No,Bank Withdrawal,No
9391-EOYLI,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
2761-OCIAX,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
3068-OMWZA,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
4154-AQUGT,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Bank Withdrawal,Yes
8017-LXHFA,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
4248-QPAVC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Bank Withdrawal,Yes
4690-LLKUA,Month-to-Month,Yes,DSL,Yes,No,No,No,No,No,Bank Withdrawal,Yes
9490-DFPMD,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
8580-AECUZ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
5047-LHVLY,Month-to-Month,Yes,Cable,Yes,No,No,No,Yes,No,Mailed Check,Yes
8375-DKEBR,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
7279-BUYWN,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Bank Withdrawal,Yes
7156-MHUGY,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
9606-PBKBQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3536-IQCTX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,No
3132-TVFDZ,Month-to-Month,Yes,Cable,No,No,No,No,No,No,Bank Withdrawal,Yes
8080-DDEMJ,Month-to-Month,Yes,Cable,Yes,No,No,No,No,No,Bank Withdrawal,No
6702-OHFWR,Month-to-Month,Yes,DSL,No,No,No,Yes,Yes,No,Bank Withdrawal,Yes
4510-PYUSH,Month-to-Month,Yes,DSL,Yes,No,Yes,Yes,No,No,Credit Card,Yes
8840-DQLGN,Month-to-Month,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Bank Withdrawal,Yes
4193-ORFCL,Month-to-Month,Yes,DSL,Yes,No,No,No,No,No,Credit Card,No
7776-QWNFX,Month-to-Month,Yes,DSL,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
6689-TCZHQ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,No
9497-QCMMS,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3424-NMNBO,One Year,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Bank Withdrawal,Yes
4514-GFCFI,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
8000-REIQB,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
4795-KTRTH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
9961-JBNMK,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
6179-GJPSO,Month-to-Month,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Credit Card,Yes
8290-YWKHZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
8051-HJRLT,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
4021-RQSNY,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
9061-TIHDA,Month-to-Month,Yes,Cable,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
8699-ASUFO,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
4695-WJZUE,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
3988-RQIXO,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
5931-FLJJF,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Credit Card,Yes
3207-OYBWH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
7216-EWTRS,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
2528-HFYZX,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
4140-MUHUG,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Bank Withdrawal,Yes
1587-FKLZB,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Credit Card,Yes
5440-FLBQG,Two Year,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Bank Withdrawal,Yes
2774-LVQUS,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Bank Withdrawal,Yes
4612-THJBS,One Year,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
4094-NSEDU,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
1846-XWOQN,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
3757-NJYBX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,No
9898-KZQDZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
8263-JQAIK,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Credit Card,Yes
2205-YMZZJ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
1254-IZEYF,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
9221-OTIVJ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
5908-QMGOE,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
0397-GZBBC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7641-EUYET,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Bank Withdrawal,Yes
8922-LIEGH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
8245-UMPYT,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
5186-SAMNZ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
5373-SFODM,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
0022-TCJCI,One Year,Yes,DSL,Yes,No,Yes,No,Yes,No,Credit Card,No
5130-IEKQT,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Credit Card,No
3269-ATYWD,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
0354-WYROK,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Bank Withdrawal,Yes
7576-OYWBN,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
5539-TMZLF,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
3336-JORSO,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Bank Withdrawal,Yes
6861-XWTWQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
4283-FUTGF,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
2397-BRLOM,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Credit Card,Yes
8510-AWCXC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Bank Withdrawal,Yes
8225-BTJAU,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
1724-BQUHA,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
4826-XTSOH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
2408-WITXK,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Bank Withdrawal,Yes
2634-HCZGT,One Year,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Bank Withdrawal,Yes
7503-QQRVF,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Credit Card,Yes
0709-TVGUR,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3001-CBHLQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Bank Withdrawal,Yes
4102-OQUPX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
3999-QGRJH,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
2454-RPBRZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
2265-CYWIV,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Bank Withdrawal,Yes
4550-VBOFE,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
7409-KIUTL,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
1732-VHUBQ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,No
0679-IDSTG,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
8802-UNOJF,Month-to-Month,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Credit Card,Yes
6313-GIDIT,Month-to-Month,Yes,DSL,No,No,No,Yes,Yes,No,Bank Withdrawal,Yes
2845-AFFTX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
2815-CPTUL,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Credit Card,Yes
1891-FZYSA,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
9685-WKZGT,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
6022-UGGSO,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Bank Withdrawal,Yes
3923-CSIHK,Month-to-Month,Yes,Cable,Yes,No,No,No,No,No,Bank Withdrawal,Yes
3677-IYRBF,Month-to-Month,Yes,DSL,No,No,No,No,Yes,No,Bank Withdrawal,Yes
8118-LSUEL,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
5277-ZLOOR,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4248-HCETZ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Credit Card,Yes
9174-FKWZE,Month-to-Month,No,,Yes,No,No,No,No,No,Bank Withdrawal,Yes
5307-DZCVC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
8679-JOEVF,Month-to-Month,Yes,DSL,Yes,No,No,No,No,Yes,Bank Withdrawal,No
4803-AXVYP,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Bank Withdrawal,Yes
5649-ANRML,Month-to-Month,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Credit Card,Yes
7395-IGJOS,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,No
7890-VYYWG,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Credit Card,Yes
9907-SWKKF,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Credit Card,No
6397-JNZZG,Month-to-Month,Yes,DSL,No,No,No,Yes,Yes,No,Credit Card,No
7779-LGOVN,Month-to-Month,Yes,Cable,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
9710-ZUSHQ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Bank Withdrawal,Yes
3902-FOIGH,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
3318-OSATS,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
2636-ALXXZ,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
9885-CSMWE,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,No
8058-JMEQO,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7657-DYEPJ,One Year,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Credit Card,Yes
8276-MQBYC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
6015-VVHHE,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
2516-VQRRV,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
7580-UGXNC,Month-to-Month,Yes,DSL,Yes,No,Yes,Yes,No,No,Credit Card,No
5178-LMXOP,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
7056-IMHCC,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
8749-JMNKX,Month-to-Month,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Bank Withdrawal,Yes
0917-EZOLA,Two Year,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
8414-MYSHR,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
4988-IQIGL,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Bank Withdrawal,Yes
4706-AXVKM,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Credit Card,Yes
5889-JTMUL,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
9026-RNUJS,Month-to-Month,Yes,DSL,Yes,No,No,No,Yes,No,Bank Withdrawal,No
1624-NALOJ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Bank Withdrawal,Yes
6210-KBBPI,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Credit Card,Yes
2260-USTRB,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
8623-TMRBY,Month-to-Month,Yes,Cable,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
6900-PXRMS,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,No
3346-BRMIS,Month-to-Month,Yes,DSL,No,No,No,No,Yes,No,Bank Withdrawal,Yes
2722-JMONI,Month-to-Month,Yes,Cable,Yes,No,Yes,No,No,No,Bank Withdrawal,Yes
7579-OOPEC,Month-to-Month,Yes,DSL,Yes,No,No,Yes,No,No,Credit Card,No
1771-OADNZ,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Bank Withdrawal,Yes
0612-RTZZA,Month-to-Month,Yes,DSL,No,No,No,No,No,No,Bank Withdrawal,No
4433-JCGCG,Month-to-Month,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Bank Withdrawal,Yes
9488-HGMJH,Month-to-Month,Yes,Fiber Optic,Yes,No,No,No,No,No,Bank Withdrawal,Yes
