customer_id,gender,senior_citizen,age_group
7579-OOPEC,Female,Yes,60+
1771-OADNZ,Male,Yes,60+
0612-RTZZA,Female,Yes,60+
4433-JCGCG,Male,Yes,60+
9488-HGMJH,Female,Yes,60+
4818-QIUFN,Female,Yes,60+
6961-VCPMC,Male,Yes,60+
4424-TKOPW,Male,Yes,60+
4201-JMNGR,Female,Yes,60+
1866-RZZQS,Male,Yes,60+
8631-NBHFZ,Male,Yes,60+
4958-XCBDQ,Male,Yes,60+
8337-UPOAQ,Male,Yes,60+
6712-OAWRH,Female,Yes,60+
5914-DVBWJ,Female,Yes,60+
8644-XLFBW,Male,Yes,60+
1833-VGRUM,Female,Yes,60+
8374-XGEJJ,Male,Yes,60+
6946-LMSQS,Male,Yes,60+
4039-HEUNW,Male,Yes,60+
0812-WUPTB,Male,Yes,60+
2403-BCASL,Male,Yes,60+
3871-IKPYH,Male,Yes,60+
1304-NECVQ,Female,Yes,60+
5655-JSMZM,Male,Yes,60+
4505-EXZHB,Female,Yes,60+
8972-HJWNV,Female,Yes,60+
2860-RANUS,Female,Yes,60+
0406-BPDVR,Female,Yes,60+
5276-KQWHG,Female,Yes,60+
9667-EQRXU,Female,Yes,60+
0946-CLJTI,Male,Yes,60+
0324-BRPCJ,Female,Yes,60+
9189-JWSHV,Female,Yes,60+
0576-WNXXC,Male,Yes,60+
5482-PLVPE,Female,Yes,60+
4902-OHLSK,Female,Yes,60+
0495-ZBNGW,Male,Yes,60+
2357-COQEK,Female,Yes,60+
2034-CGRHZ,Male,Yes,60+
9360-AHGNL,Female,Yes,60+
5485-WUYWF,Male,Yes,60+
2632-UCGVD,Male,Yes,60+
6425-YQLLO,Female,Yes,60+
2091-RFFBA,Female,Yes,60+
6899-PPEEA,Female,Yes,60+
4597-NUCQV,Male,Yes,60+
3754-DXMRT,Male,Yes,60+
7130-VTEWQ,Female,Yes,60+
7903-CMPEY,Male,Yes,60+
1704-NRWYE,Female,Yes,60+
7481-ATQQS,Female,Yes,60+
0023-HGHWL,Male,Yes,60+
1792-UXAFY,Female,Yes,60+
6161-UUUTA,Male,Yes,60+
6543-XRMYR,Female,Yes,60+
2479-BRAMR,Male,Yes,60+
3714-JTVOV,Female,Yes,60+
8580-QVLOC,Female,Yes,60+
2012-NWRPA,Female,Yes,60+
8808-ELEHO,Male,Yes,60+
9058-CBREO,Female,Yes,60+
8063-GBATB,Female,Yes,60+
1069-XAIEM,Female,Yes,60+
6987-XQSJT,Female,Yes,60+
0722-TROQR,Female,Yes,60+
6402-ZFPPI,Female,Yes,60+
9965-YOKZB,Male,Yes,60+
0504-HHAPI,Female,Yes,60+
3791-LGQCY,Female,Yes,60+
8166-ZZTFS,Female,Yes,60+
2956-GGUCQ,Male,Yes,60+
2778-OCLGR,Male,Yes,60+
7067-KSAZT,Female,Yes,60+
9300-AGZNL,Male,Yes,60+
1112-CUNAO,Female,Yes,60+
3389-YGYAI,Female,Yes,60+
3070-DVEYC,Male,Yes,60+
5707-ORNDZ,Male,Yes,60+
8696-JKZNU,Female,Yes,60+
2055-PDADH,Female,Yes,60+
2302-ANTDP,Female,Yes,60+
5233-GEEAX,Male,Yes,60+
7137-RYLPP,Male,Yes,60+
3957-LXOLK,Female,Yes,60+
5281-BUZGT,Male,Yes,60+
2718-GAXQD,Female,Yes,60+
3217-FZDMN,Female,Yes,60+
7480-QNVZJ,Male,Yes,60+
7124-UGSUR,Female,Yes,60+
1862-SKORY,Female,Yes,60+
4816-JBHOV,Male,Yes,60+
3247-ZVOUO,Male,Yes,60+
1268-ASBGA,Female,Yes,60+
4713-LZDRV,Female,Yes,60+
4325-NFSKC,Male,Yes,60+
6502-HCJTI,Male,Yes,60+
8258-GSTJK,Male,Yes,60+
2995-UPRYS,Female,Yes,60+
6686-YPGHK,Male,Yes,60+
8020-BWHYL,Female,Yes,60+
6892-XPFPU,Male,Yes,60+
8010-EZLOU,Male,Yes,60+
8062-YBDOE,Male,Yes,60+
3672-YITQD,Male,Yes,60+
8988-ECPJR,Female,Yes,60+
3776-EKTKM,Female,Yes,60+
0643-OKLRP,Female,Yes,60+
9381-NDKME,Female,Yes,60+
8327-LZKAS,Female,Yes,60+
1075-BGWOH,Male,Yes,60+
8485-GJCDN,Female,Yes,60+
6029-WTIPC,Male,Yes,60+
3317-HRTNN,Female,Yes,60+
5569-OUICF,Female,Yes,60+
5747-PMBSQ,Male,Yes,60+
2982-IHMFT,Female,Yes,60+
5143-EGQFK,Female,Yes,60+
6168-WFVVF,Female,Yes,60+
7450-NWRTR,Male,Yes,60+
6005-OBZPH,Female,Yes,60+
7932-WPTDS,Female,Yes,60+
7000-WCEVQ,Female,Yes,60+
5959-BELXA,Male,Yes,60+
2506-TNFCO,Female,Yes,60+
6060-DRTNL,Female,Yes,60+
8473-VUVJN,Male,Yes,60+
0196-VULGZ,Female,Yes,60+
1976-CFOCS,Female,Yes,60+
4631-OACRM,Male,Yes,60+
3755-JBMNH,Male,Yes,60+
6345-ULYRW,Male,Yes,60+
0013-EXCHZ,Female,Yes,60+
5550-VFRLC,Female,Yes,60+
2657-ALMWY,Female,Yes,60+
6284-AHOOQ,Male,Yes,60+
2460-FPSYH,Female,Yes,60+
5028-HTLJB,Male,Yes,60+
0875-CABNR,Female,Yes,60+
6982-UQZLY,Female,Yes,60+
0193-ESZXP,Female,Yes,60+
4369-HTUIF,Male,Yes,60+
5287-QWLKY,Male,Yes,60+
1891-UAWWU,Female,Yes,60+
3096-JRDSO,Female,Yes,60+
2398-YPMUR,Female,Yes,60+
1265-XTECC,Female,Yes,60+
4871-JTKJF,Female,Yes,60+
1415-YFWLT,Female,Yes,60+
3500-RMZLT,Female,Yes,60+
2642-DTVCO,Male,Yes,60+
1363-TXLSL,Male,Yes,60+
7136-RVDTZ,Male,Yes,60+
6927-WTFIV,Male,Yes,60+
3398-ZOUAA,Male,Yes,60+
4844-JJWUY,Female,Yes,60+
4785-QRJHC,Male,Yes,60+
1965-AKTSX,Female,Yes,60+
7248-VZQLC,Female,Yes,60+
0011-IGKFF,Male,Yes,60+
6496-SLWHQ,Male,Yes,60+
9912-GVSEQ,Female,Yes,60+
5383-MMTWC,Female,Yes,60+
6877-LGWXO,Male,Yes,60+
5167-GBFRE,Male,Yes,60+
1324-NLTJE,Female,Yes,60+
5567-WSELE,Male,Yes,60+
6646-VRFOL,Male,Yes,60+
9090-SGQXL,Male,Yes,60+
6595-YGXIT,Male,Yes,60+
9835-ZIITK,Male,Yes,60+
5649-TJHOV,Male,Yes,60+
9253-QXKBE,Male,Yes,60+
8775-LHDJH,Female,Yes,60+
3097-NQYSN,Male,Yes,60+
3565-UNOCC,Female,Yes,60+
9190-MFJLN,Male,Yes,60+
1095-JUDTC,Female,Yes,60+
5385-SUIRI,Male,Yes,60+
6328-ZPBGN,Female,Yes,60+
2856-NNASM,Male,Yes,60+
6769-DYBQN,Male,Yes,60+
2446-BEGGB,Female,Yes,60+
1496-GGSUK,Female,Yes,60+
3296-SILRA,Female,Yes,60+
5180-UCIIQ,Male,Yes,60+
1977-STDKI,Female,Yes,60+
5813-UECBU,Male,Yes,60+
4342-HENTK,Female,Yes,60+
1597-LHYNC,Female,Yes,60+
8651-ENBZX,Female,Yes,60+
9286-DOJGF,Female,Yes,60+
9661-MHUMO,Male,Yes,60+
8884-ADFVN,Male,Yes,60+
2720-WGKHP,Male,Yes,60+
9776-CLUJA,Female,Yes,60+
3551-HUAZH,Male,Yes,60+
8634-MPHTR,Male,Yes,60+
2474-BRUCM,Male,Yes,60+
0616-ATFGB,Male,Yes,60+
7235-NXZCP,Male,Yes,60+
6661-HBGWL,Female,Yes,60+
9317-WZPGV,Female,Yes,60+
3621-CEOVK,Female,Yes,60+
7632-MNYOY,Male,Yes,60+
9248-OJYKK,Male,Yes,60+
3398-FSHON,Female,Yes,60+
3319-DWOEP,Male,Yes,60+
0818-OCPZO,Male,Yes,60+
1389-CXMLU,Male,Yes,60+
5561-NWEVX,Female,Yes,60+
2272-QAGFO,Female,Yes,60+
3768-NLUBH,Male,Yes,60+
7359-SSBJK,Female,Yes,60+
0685-MLYYM,Female,Yes,60+
7957-RYHQD,Female,Yes,60+
6230-BSUXY,Female,Yes,60+
3990-QYKBE,Male,Yes,60+
9274-CNFMO,Male,Yes,60+
3005-NFMTA,Male,Yes,60+
5389-FFVKB,Male,Yes,60+
8444-WRIDW,Female,Yes,60+
5868-YWPDW,Male,Yes,60+
1273-MTETI,Female,Yes,60+
5480-HPRRX,Female,Yes,60+
7234-FECYN,Female,Yes,60+
1400-MMYXY,Male,Yes,60+
7142-HVGBG,Male,Yes,60+
1564-NTYXF,Female,Yes,60+
0886-QGENL,Female,Yes,60+
8739-WWKDU,Male,Yes,60+
8685-WHQPW,Female,Yes,60+
7240-FQLHE,Female,Yes,60+
6664-FPDAC,Female,Yes,60+
0786-VSSUD,Male,Yes,60+
6583-QGCSI,Female,Yes,60+
1980-KXVPM,Female,Yes,60+
0723-DRCLG,Female,Yes,60+
6894-LFHLY,Male,Yes,60+
8361-LTMKD,Male,Yes,60+
3841-NFECX,Female,Yes,60+
4929-XIHVW,Male,Yes,60+
3413-BMNZE,Male,Yes,60+
8012-SOUDQ,Female,Yes,60+
6575-SUVOI,Female,Yes,60+
4667-QONEA,Female,Yes,60+
5067-XJQFU,Male,Yes,60+
1891-QRQSA,Male,Yes,60+
2673-CXQEU,Female,Yes,60+
0191-ZHSKZ,Male,Yes,60+
2424-WVHPL,Male,Yes,60+
5386-THSLQ,Female,Yes,60+
2639-UGMAZ,Male,Yes,60+
3146-MSEGF,Female,Yes,60+
1131-QQZEB,Male,Yes,60+
2504-DSHIH,Male,Yes,60+
9058-HRZSV,Female,Yes,60+
4522-AKYLR,Female,Yes,60+
0221-WMXNQ,Male,Yes,60+
5046-NUHWD,Female,Yes,60+
7529-ZDFXI,Male,Yes,60+
3197-ARFOY,Female,Yes,60+
4716-HHKQH,Male,Yes,60+
3179-GBRWV,Male,Yes,60+
4847-TAJYI,Female,Yes,60+
6851-WEFYX,Male,Yes,60+
3167-SNQPL,Male,Yes,60+
2799-ARNLO,Female,Yes,60+
5701-YVSVF,Female,Yes,60+
5697-GOMBF,Female,Yes,60+
2739-CACDQ,Female,Yes,60+
6035-BXTTY,Female,Yes,60+
0021-IKXGC,Female,Yes,60+
4654-DLAMQ,Female,Yes,60+
4115-NZRKS,Female,Yes,60+
3351-NGXYI,Female,Yes,60+
8204-YJCLA,Male,Yes,60+
9774-NRNAU,Male,Yes,60+
0224-RLWWD,Female,Yes,60+
3951-NJCVI,Female,Yes,60+
0177-PXBAT,Male,Yes,60+
2519-ERQOJ,Male,Yes,60+
0111-KLBQG,Male,Yes,60+
1996-DBMUS,Female,Yes,60+
2055-SIFSS,Female,Yes,60+
2806-MLNTI,Male,Yes,60+
5628-RKIFK,Female,Yes,60+
5760-WRAHC,Female,Yes,60+
1480-BKXGA,Male,Yes,60+
9076-AXYIK,Male,Yes,60+
4933-IKULF,Female,Yes,60+
3780-DDGSE,Male,Yes,60+
4612-SSVHJ,Female,Yes,60+
5756-OZRIO,Male,Yes,60+
4513-CXYIX,Female,Yes,60+
4332-MUOEZ,Male,Yes,60+
6705-LXORM,Female,Yes,60+
4109-CYRBD,Male,Yes,60+
8606-CIQUL,Male,Yes,60+
0356-OBMAC,Female,Yes,60+
1297-VQDRP,Male,Yes,60+
4676-MQUEA,Male,Yes,60+
7025-WCBNE,Male,Yes,60+
6030-REHUX,Female,Yes,60+
6522-YRBXD,Male,Yes,60+
6689-VRRTK,Female,Yes,60+
7134-MJPDY,Female,Yes,60+
4881-JVQOD,Male,Yes,60+
6797-UCJHZ,Female,Yes,60+
2469-DTSGX,Female,Yes,60+
4908-XAXAY,Female,Yes,60+
3509-GWQGF,Male,Yes,60+
3729-OWRVL,Male,Yes,60+
7251-LJBQN,Female,Yes,60+
2682-KEVRP,Female,Yes,60+
9978-HYCIN,Male,Yes,60+
8329-UTMVM,Male,Yes,60+
6952-OMNWB,Male,Yes,60+
6549-YMFAW,Male,Yes,60+
1307-TVUFB,Male,Yes,60+
7503-MIOGA,Female,Yes,60+
2499-AJYUA,Female,Yes,60+
6919-ELBGL,Male,Yes,60+
3966-HRMZA,Female,Yes,60+
5671-RQRLP,Female,Yes,60+
4785-NKHCX,Male,Yes,60+
4250-WAROZ,Male,Yes,60+
3523-BRGUW,Male,Yes,60+
2123-AGEEN,Female,Yes,60+
1258-YMZNM,Female,Yes,60+
6259-WJQLC,Male,Yes,60+
7508-SMHXL,Female,Yes,60+
3956-CJUST,Female,Yes,60+
4824-GUCBY,Female,Yes,60+
6630-UJZMY,Female,Yes,60+
9904-EHEVJ,Female,Yes,60+
2826-DXLQO,Male,Yes,60+
9489-UTFKA,Male,Yes,60+
4849-PYRLQ,Female,Yes,60+
2858-EIMXH,Female,Yes,60+
6419-ZTTLE,Male,Yes,60+
8242-SOQUO,Female,Yes,60+
7460-ITWWP,Female,Yes,60+
7868-TMWMZ,Female,Yes,60+
4829-ZLJTK,Female,Yes,60+
8883-GRDWQ,Male,Yes,60+
9845-PEEKO,Female,Yes,60+
1751-NCDLI,Male,Yes,60+
2176-LVPNX,Female,Yes,60+
3452-ABWRL,Male,Yes,60+
1779-PWPMG,Female,Yes,60+
3082-WQRVY,Male,Yes,60+
2460-NGXBJ,Male,Yes,60+
5268-DSMNQ,Female,Yes,60+
6242-MBHPK,Female,Yes,60+
4782-OSFXZ,Female,Yes,60+
1282-IHQAC,Male,Yes,60+
1641-RQDAY,Female,Yes,60+
5461-QKNTN,Male,Yes,60+
8089-UZWLX,Female,Yes,60+
4468-KAZHE,Female,Yes,60+
1543-LLLFT,Male,Yes,60+
6507-ZJSUR,Male,Yes,60+
9220-ZNKJI,Female,Yes,60+
0723-VSOBE,Female,Yes,60+
1004-NOZNR,Male,Yes,60+
1251-STYSZ,Female,Yes,60+
9681-KYGYB,Male,Yes,60+
7005-CYUIL,Female,Yes,60+
2388-LAESQ,Female,Yes,60+
3108-PCCGG,Male,Yes,60+
6729-GDNGC,Female,Yes,60+
4238-HFHSN,Male,Yes,60+
2692-BUCFV,Male,Yes,60+
5651-WYIPH,Female,Yes,60+
8752-GHJFU,Male,Yes,60+
6896-SRVYQ,Male,Yes,60+
9052-VKDUW,Female,Yes,60+
2480-EJWYP,Female,Yes,60+
6806-YDEUL,Female,Yes,60+
0222-CNVPT,Male,Yes,60+
6048-UWKAL,Female,Yes,60+
9290-SHCMB,Female,Yes,60+
2277-BKJKN,Female,Yes,60+
8016-ZMGMO,Female,Yes,60+
1728-CXQBE,Male,Yes,60+
0481-SUMCB,Female,Yes,60+
2811-POVEX,Female,Yes,60+
7905-NJMXS,Male,Yes,60+
9957-YODKZ,Male,Yes,60+
3223-DWFIO,Male,Yes,60+
3292-PBZEJ,Male,Yes,60+
0993-OSGPT,Female,Yes,60+
7108-DGVUU,Female,Yes,60+
9906-NHHVC,Female,Yes,60+
8152-UOBNY,Female,Yes,60+
7351-KYHQH,Female,Yes,60+
6374-NTQLP,Male,Yes,60+
6267-DCFFZ,Female,Yes,60+
2439-LYPMQ,Male,Yes,60+
7426-WEIJX,Male,Yes,60+
3761-FLYZI,Female,Yes,60+
1060-ENTOF,Female,Yes,60+
0999-QXNSA,Male,Yes,60+
9365-SRSZE,Male,Yes,60+
4918-FYJNT,Female,Yes,60+
4854-CIDCF,Female,Yes,60+
3280-MRDOF,Male,Yes,60+
6407-UTSLV,Female,Yes,60+
5935-FCCNB,Female,Yes,60+
9705-IOVQQ,Male,Yes,60+
1320-REHCS,Male,Yes,60+
2057-BOYKM,Female,Yes,60+
0134-XWXCE,Female,Yes,60+
2307-FYNNL,Male,Yes,60+
5605-XNWEN,Male,Yes,60+
2519-LBNQL,Male,Yes,60+
8623-ULFNQ,Female,Yes,60+
7789-HKSBS,Female,Yes,60+
2070-XYMFH,Female,Yes,60+
5663-QBGIS,Male,Yes,60+
3402-XRIUO,Female,Yes,60+
8058-DMYRU,Male,Yes,60+
3537-RYBHH,Female,Yes,60+
0523-VNGTF,Female,Yes,60+
7105-MXJLL,Female,Yes,60+
7064-FRRSW,Male,Yes,60+
1636-NTNCO,Male,Yes,60+
3219-JQRSL,Female,Yes,60+
1845-CSBRZ,Female,Yes,60+
3723-BFBGR,Male,Yes,60+
5692-ICXLW,Male,Yes,60+
7020-OZKXZ,Female,Yes,60+
0308-GIQJT,Male,Yes,60+
8775-ERLNB,Male,Yes,60+
8309-IEYJD,Female,Yes,60+
7361-YPXFS,Female,Yes,60+
6557-BZXLQ,Male,Yes,60+
4832-VRBMR,Male,Yes,60+
7901-TBKJX,Male,Yes,60+
9919-FZDED,Male,Yes,60+
7206-PQBBZ,Male,Yes,60+
4079-VTGLK,Male,Yes,60+
2931-VUVJN,Female,Yes,60+
2878-RMWXY,Male,Yes,60+
7375-WMVMT,Male,Yes,60+
7622-FWGEW,Male,Yes,60+
0380-NEAVX,Male,Yes,60+
8495-LJDFO,Female,Yes,60+
1302-UHBDD,Male,Yes,60+
3597-YASZG,Female,Yes,60+
3420-ZDBMA,Male,Yes,60+
3398-GCPMU,Female,Yes,60+
1013-QCWAM,Female,Yes,60+
0336-PIKEI,Male,Yes,60+
7322-OCWHC,Male,Yes,60+
5732-IKGQH,Male,Yes,60+
0093-EXYQL,Female,Yes,60+
9168-INPSZ,Female,Yes,60+
0015-UOCOJ,Female,Yes,60+
5334-AFQJB,Male,Yes,60+
2754-SDJRD,Female,Yes,60+
1465-LNTLJ,Male,Yes,60+
4706-DGAHW,Male,Yes,60+
8552-OBVRU,Female,Yes,60+
9776-OJUZI,Female,Yes,60+
0869-PAPRP,Female,Yes,60+
4238-JSSWH,Female,Yes,60+
9121-PHQSR,Male,Yes,60+
9796-MVYXX,Female,Yes,60+
7268-IGMFD,Male,Yes,60+
0013-SMEOE,Female,Yes,60+
2573-GYRUU,Male,Yes,60+
6486-LHTMA,Female,Yes,60+
4083-BFNYK,Female,Yes,60+
1089-HDMKP,Male,Yes,60+
0141-YEAYS,Female,Yes,60+
9603-OAIHC,Male,Yes,60+
8406-LNMHF,Male,Yes,60+
0023-UYUPN,Female,Yes,60+
6360-SVNWV,Female,Yes,60+
9050-IKDZA,Female,Yes,60+
1197-BVMVG,Female,Yes,60+
5198-EFNBM,Male,Yes,60+
7516-GMHUV,Male,Yes,60+
6614-YWYSC,Male,Yes,60+
8735-SDUFN,Female,Yes,60+
7016-NVRIC,Male,Yes,60+
9825-YCXWZ,Female,Yes,60+
2000-DHJUY,Female,Yes,60+
9796-BPKIW,Male,Yes,60+
9137-NOQKA,Male,Yes,60+
7748-UMTRK,Female,Yes,60+
6463-MVYRY,Female,Yes,60+
4526-ZJJTM,Female,Yes,60+
5315-CKEQK,Male,Yes,60+
