customer_id,churned,churn_reference_date,monthly_charges,total_revenue,tenure_months
5644-PDMZC,1,2023-09-30,89.5,256.44,2
4160-AMJTL,1,2023-09-30,19.65,387.9,8
0823-HSCDJ,1,2023-09-30,49.15,2580.9,52
0067-DKWBL,1,2023-09-30,49.25,179.07999999999998,2
5244-IRFIH,1,2023-09-30,94.5,4022.29,33
2684-EIWEO,1,2023-09-30,91.7,4134.55,30
6683-VLCTZ,1,2023-09-30,98.55,2851.6,20
0691-IFBQW,1,2023-09-30,110.0,4983.820000000001,46
3643-AHCFP,1,2023-09-30,95.6,797.72,7
9231-ZJYAM,1,2023-09-30,78.85,440.52,4
0727-BMPLR,1,2023-09-30,100.0,7665.200000000001,55
0947-MUGVO,1,2023-09-30,73.65,1570.9,20
0781-LKXBR,1,2023-09-30,100.5,1356.99,9
1907-UBQFC,1,2023-09-30,72.85,773.25,10
6513-EECDB,1,2023-09-30,73.55,110.47,1
7074-IEVOJ,1,2023-09-30,79.4,330.75,3
4750-ZRXIU,1,2023-09-30,84.6,386.82000000000005,4
7028-DVOIQ,1,2023-09-30,99.05,4244.85,35
4208-UFFGW,1,2023-09-30,44.95,138.39000000000001,2
9889-TMAHG,1,2023-09-30,100.3,924.9100000000001,8
8919-FYFQZ,1,2023-09-30,30.35,1359.7,44
6646-QVXLR,1,2023-09-30,103.75,6824.17,62
9369-XFEHK,1,2023-09-30,80.6,3751.77,33
1374-DMZUI,1,2023-09-30,94.3,622.45,4
1989-PRJHP,1,2023-09-30,75.5,2180.15,27
4822-RVYBB,1,2023-09-30,100.6,1143.0,8
4184-TJFAN,1,2023-09-30,88.3,351.06,3
4145-UQXUQ,1,2023-09-30,92.1,1073.39,8
1236-WFCDV,1,2023-09-30,90.45,1424.4399999999998,14
1271-SJBGZ,1,2023-09-30,43.65,526.95,12
4441-NIHPT,1,2023-09-30,74.3,1465.1599999999999,13
8999-BOHSE,1,2023-09-30,89.7,1091.26,11
7029-RPUAV,1,2023-09-30,100.45,2101.51,17
8111-SLLHI,1,2023-09-30,105.65,5581.55,39
5293-WXJAK,1,2023-09-30,104.05,1323.4,11
4086-YQSNZ,1,2023-09-30,80.4,233.92000000000002,3
8399-YNDCH,1,2023-09-30,60.05,1963.17,21
5565-FILXA,1,2023-09-30,96.15,2149.2,16
4187-CINZD,1,2023-09-30,95.25,4706.18,46
6818-WOBHJ,1,2023-09-30,89.6,7768.4400000000005,68
9134-CEQMF,1,2023-09-30,89.5,772.11,7
8519-IMDHU,1,2023-09-30,85.6,2024.3,15
3372-KWFBM,1,2023-09-30,86.6,1587.88,16
7206-GZCDC,1,2023-09-30,69.25,98.93,1
1768-ZAIFU,1,2023-09-30,25.2,25.2,1
3793-MMFUH,1,2023-09-30,95.05,1537.39,13
6567-HOOPW,1,2023-09-30,79.2,99.26,1
8621-MNIHH,1,2023-09-30,94.25,3315.4700000000003,34
5419-CONWX,1,2023-09-30,99.8,493.57000000000005,4
7024-OHCCK,1,2023-09-30,93.85,209.39,2
5357-TZHPP,1,2023-09-30,84.4,1009.7,9
0506-LVNGN,1,2023-09-30,75.55,561.3,5
9809-IMGCQ,1,2023-09-30,96.7,3066.91,22
3254-YRILK,1,2023-09-30,88.2,2535.23,19
0529-ONKER,1,2023-09-30,75.65,1842.3500000000001,15
5240-IJOQT,1,2023-09-30,74.7,86.04,1
0661-XEYAN,1,2023-09-30,25.8,45.8,1
2660-EMUBI,1,2023-09-30,95.35,1312.05,10
7675-OZCZG,1,2023-09-30,45.0,227.51999999999998,3
9391-EOYLI,1,2023-09-30,80.45,1033.8400000000001,12
2761-OCIAX,1,2023-09-30,74.7,178.42000000000002,2
3068-OMWZA,1,2023-09-30,88.8,148.4,1
4154-AQUGT,1,2023-09-30,89.05,1188.4599999999998,13
8017-LXHFA,1,2023-09-30,94.75,3010.51,23
4248-QPAVC,1,2023-09-30,85.35,2089.3900000000003,17
4690-LLKUA,1,2023-09-30,45.05,1466.4099999999999,17
9490-DFPMD,1,2023-09-30,84.65,3941.6099999999997,42
8580-AECUZ,1,2023-09-30,79.1,121.39999999999999,1
5047-LHVLY,1,2023-09-30,50.15,89.93,1
8375-DKEBR,1,2023-09-30,69.6,104.10999999999999,1
7279-BUYWN,1,2023-09-30,113.2,5835.45,41
7156-MHUGY,1,2023-09-30,90.5,1650.7400000000002,13
9606-PBKBQ,1,2023-09-30,85.0,2784.16,32
3536-IQCTX,1,2023-09-30,85.3,4248.3,32
3132-TVFDZ,1,2023-09-30,44.85,2560.8799999999997,57
8080-DDEMJ,1,2023-09-30,45.1,60.38,1
6702-OHFWR,1,2023-09-30,43.3,43.3,1
4510-PYUSH,1,2023-09-30,57.15,3242.4500000000003,38
8840-DQLGN,1,2023-09-30,100.5,4212.65,35
4193-ORFCL,1,2023-09-30,45.1,60.34,1
7776-QWNFX,1,2023-09-30,50.4,1667.0,30
6689-TCZHQ,1,2023-09-30,78.95,439.75,5
9497-QCMMS,1,2023-09-30,93.55,123.72,1
3424-NMNBO,1,2023-09-30,108.85,9151.29,58
4514-GFCFI,1,2023-09-30,84.75,1630.3100000000002,16
8000-REIQB,1,2023-09-30,69.95,102.45,1
4795-KTRTH,1,2023-09-30,81.0,577.41,5
9961-JBNMK,1,2023-09-30,96.8,2907.77,21
6179-GJPSO,1,2023-09-30,108.15,5969.389999999999,43
8290-YWKHZ,1,2023-09-30,93.2,3992.8,32
8051-HJRLT,1,2023-09-30,70.55,88.75,1
4021-RQSNY,1,2023-09-30,98.5,3754.22,29
9061-TIHDA,1,2023-09-30,95.25,1597.66,13
8699-ASUFO,1,2023-09-30,74.4,557.88,7
4695-WJZUE,1,2023-09-30,88.55,222.39,2
3988-RQIXO,1,2023-09-30,91.3,134.91,1
5931-FLJJF,1,2023-09-30,70.1,559.67,7
3207-OYBWH,1,2023-09-30,95.25,8259.33,57
7216-EWTRS,1,2023-09-30,100.8,118.15,1
2528-HFYZX,1,2023-09-30,76.45,1251.25,17
4140-MUHUG,1,2023-09-30,86.85,276.09,3
1587-FKLZB,1,2023-09-30,99.5,8726.91,66
5440-FLBQG,1,2023-09-30,108.4,10690.92,69
2774-LVQUS,1,2023-09-30,83.05,2030.25,15
4612-THJBS,1,2023-09-30,104.75,7447.129999999999,56
4094-NSEDU,1,2023-09-30,94.25,2417.9,21
1846-XWOQN,1,2023-09-30,70.15,118.12,1
3757-NJYBX,1,2023-09-30,106.35,3774.19,32
9898-KZQDZ,1,2023-09-30,94.55,5620.45,40
8263-JQAIK,1,2023-09-30,24.45,47.5,2
2205-YMZZJ,1,2023-09-30,84.8,823.52,7
1254-IZEYF,1,2023-09-30,99.95,4406.81,31
9221-OTIVJ,1,2023-09-30,104.85,1950.8400000000001,14
5908-QMGOE,1,2023-09-30,74.2,1443.5400000000002,15
0397-GZBBC,1,2023-09-30,93.85,6202.639999999999,59
7641-EUYET,1,2023-09-30,100.7,6753.619999999999,46
8922-LIEGH,1,2023-09-30,89.7,3073.2200000000003,25
8245-UMPYT,1,2023-09-30,96.4,2047.76,16
5186-SAMNZ,1,2023-09-30,69.5,190.7,1
5373-SFODM,1,2023-09-30,85.25,4016.19,36
0022-TCJCI,1,2023-09-30,62.7,3271.65,45
5130-IEKQT,1,2023-09-30,105.95,3813.75,25
3269-ATYWD,1,2023-09-30,95.65,5544.32,39
0354-WYROK,1,2023-09-30,98.9,4397.75,31
7576-OYWBN,1,2023-09-30,76.05,322.55,3
5539-TMZLF,1,2023-09-30,69.75,103.59,1
3336-JORSO,1,2023-09-30,110.45,4294.37,33
6861-XWTWQ,1,2023-09-30,99.25,965.8900000000001,7
4283-FUTGF,1,2023-09-30,79.85,1790.5700000000002,19
2397-BRLOM,1,2023-09-30,80.45,799.37,8
8510-AWCXC,1,2023-09-30,100.8,1401.9599999999998,13
8225-BTJAU,1,2023-09-30,79.25,868.65,10
1724-BQUHA,1,2023-09-30,89.5,706.3,5
4826-XTSOH,1,2023-09-30,86.05,124.83,1
2408-WITXK,1,2023-09-30,34.7,329.8,10
2634-HCZGT,1,2023-09-30,60.05,4478.16,53
7503-QQRVF,1,2023-09-30,74.3,1596.17,16
0709-TVGUR,1,2023-09-30,74.55,747.6899999999999,9
3001-CBHLQ,1,2023-09-30,104.9,4710.14,32
4102-OQUPX,1,2023-09-30,74.4,121.76,1
3999-QGRJH,1,2023-09-30,69.7,679.97,8
2454-RPBRZ,1,2023-09-30,98.1,1378.7,12
2265-CYWIV,1,2023-09-30,99.6,397.49999999999994,4
4550-VBOFE,1,2023-09-30,102.95,8307.76,70
7409-KIUTL,1,2023-09-30,71.0,99.64,1
1732-VHUBQ,1,2023-09-30,70.55,4548.91,47
0679-IDSTG,1,2023-09-30,69.25,106.55,1
8802-UNOJF,1,2023-09-30,83.8,1408.73,12
6313-GIDIT,1,2023-09-30,54.45,2834.3900000000003,53
2845-AFFTX,1,2023-09-30,99.8,5175.38,41
2815-CPTUL,1,2023-09-30,70.25,330.77,5
1891-FZYSA,1,2023-09-30,89.95,7373.82,69
9685-WKZGT,1,2023-09-30,74.95,1225.94,14
6022-UGGSO,1,2023-09-30,74.4,3295.68,32
3923-CSIHK,1,2023-09-30,71.05,3674.85,50
3677-IYRBF,1,2023-09-30,30.4,78.65,2
8118-LSUEL,1,2023-09-30,106.4,2888.76,23
5277-ZLOOR,1,2023-09-30,85.55,198.42999999999998,2
4248-HCETZ,1,2023-09-30,79.65,2552.05,30
9174-FKWZE,1,2023-09-30,19.45,42.370000000000005,1
5307-DZCVC,1,2023-09-30,85.95,4195.0,32
8679-JOEVF,1,2023-09-30,59.4,1613.1799999999998,16
4803-AXVYP,1,2023-09-30,99.55,5535.07,38
5649-ANRML,1,2023-09-30,95.1,206.17000000000002,2
7395-IGJOS,1,2023-09-30,81.5,1490.7,17
7890-VYYWG,1,2023-09-30,36.45,93.7,3
9907-SWKKF,1,2023-09-30,25.05,25.05,1
6397-JNZZG,1,2023-09-30,55.55,2342.2,43
7779-LGOVN,1,2023-09-30,86.65,1321.65,10
9710-ZUSHQ,1,2023-09-30,106.75,5605.2,37
3902-FOIGH,1,2023-09-30,101.35,1800.55,12
3318-OSATS,1,2023-09-30,95.45,4782.55,35
2636-ALXXZ,1,2023-09-30,69.6,115.39999999999999,1
9885-CSMWE,1,2023-09-30,78.45,96.82000000000001,1
8058-JMEQO,1,2023-09-30,84.45,878.69,9
7657-DYEPJ,1,2023-09-30,70.15,2715.85,38
8276-MQBYC,1,2023-09-30,97.8,5907.29,51
6015-VVHHE,1,2023-09-30,83.15,655.2,5
2516-VQRRV,1,2023-09-30,75.45,205.32,2
7580-UGXNC,1,2023-09-30,54.85,155.68,2
5178-LMXOP,1,2023-09-30,95.1,99.99,1
7056-IMHCC,1,2023-09-30,101.9,5970.219999999999,53
8749-JMNKX,1,2023-09-30,93.8,5880.09,51
0917-EZOLA,1,2023-09-30,104.15,8124.11,72
8414-MYSHR,1,2023-09-30,91.4,472.7,5
4988-IQIGL,1,2023-09-30,75.35,103.83999999999999,1
4706-AXVKM,1,2023-09-30,84.8,951.95,11
5889-JTMUL,1,2023-09-30,95.05,6516.7,50
9026-RNUJS,1,2023-09-30,50.35,330.7,5
1624-NALOJ,1,2023-09-30,89.8,684.4000000000001,5
6210-KBBPI,1,2023-09-30,99.45,1015.3399999999999,9
2260-USTRB,1,2023-09-30,70.2,135.05,2
8623-TMRBY,1,2023-09-30,84.2,6368.63,51
6900-PXRMS,1,2023-09-30,105.75,2833.01,26
3346-BRMIS,1,2023-09-30,48.35,810.7,18
2722-JMONI,1,2023-09-30,49.55,73.78999999999999,1
7579-OOPEC,1,2023-09-30,50.15,128.82,2
1771-OADNZ,1,2023-09-30,95.9,3821.22,29
0612-RTZZA,1,2023-09-30,25.25,25.25,1
4433-JCGCG,1,2023-09-30,101.0,4926.610000000001,46
9488-HGMJH,1,2023-09-30,71.15,115.9,1
4818-QIUFN,1,2023-09-30,79.15,1757.3000000000002,20
6961-VCPMC,1,2023-09-30,80.4,5861.719999999999,46
4424-TKOPW,1,2023-09-30,93.85,247.13,2
4201-JMNGR,1,2023-09-30,55.8,82.02,1
1866-RZZQS,1,2023-09-30,98.4,5912.21,41
8631-NBHFZ,1,2023-09-30,79.4,7286.58,66
4958-XCBDQ,1,2023-09-30,101.4,4885.45,35
8337-UPOAQ,1,2023-09-30,89.8,1083.1,10
6712-OAWRH,1,2023-09-30,91.25,3253.7400000000002,26
5914-DVBWJ,1,2023-09-30,85.45,1548.33,18
8644-XLFBW,1,2023-09-30,71.65,100.11000000000001,1
1833-VGRUM,1,2023-09-30,74.2,123.15,1
8374-XGEJJ,1,2023-09-30,101.0,5882.15,43
6946-LMSQS,1,2023-09-30,89.05,3018.2,25
4039-HEUNW,1,2023-09-30,96.5,4034.06,36
0812-WUPTB,1,2023-09-30,70.85,120.44999999999999,1
2403-BCASL,1,2023-09-30,111.95,6381.539999999999,41
3871-IKPYH,1,2023-09-30,69.1,85.28999999999999,1
1304-NECVQ,1,2023-09-30,78.55,237.47000000000003,2
5655-JSMZM,1,2023-09-30,96.2,6303.889999999999,49
4505-EXZHB,1,2023-09-30,74.4,507.56,6
8972-HJWNV,1,2023-09-30,84.55,796.86,7
2860-RANUS,1,2023-09-30,85.8,2313.3,20
0406-BPDVR,1,2023-09-30,101.5,7181.56,54
5276-KQWHG,1,2023-09-30,69.6,162.29000000000002,2
9667-EQRXU,1,2023-09-30,40.3,1272.95,30
0946-CLJTI,1,2023-09-30,98.7,5997.04,58
0324-BRPCJ,1,2023-09-30,100.2,8302.09,68
9189-JWSHV,1,2023-09-30,93.55,2585.17,24
0576-WNXXC,1,2023-09-30,95.55,3576.43,27
5482-PLVPE,1,2023-09-30,24.35,41.85,2
4902-OHLSK,1,2023-09-30,98.65,3471.17,29
0495-ZBNGW,1,2023-09-30,79.9,397.25,5
2357-COQEK,1,2023-09-30,103.3,3678.57,28
2034-CGRHZ,1,2023-09-30,102.95,2574.22,24
9360-AHGNL,1,2023-09-30,109.55,5206.5,43
5485-WUYWF,1,2023-09-30,66.4,105.69,2
2632-UCGVD,1,2023-09-30,100.05,10162.0,66
6425-YQLLO,1,2023-09-30,105.95,8806.75,66
2091-RFFBA,1,2023-09-30,73.9,2695.48,31
6899-PPEEA,1,2023-09-30,96.55,3702.4,37
4597-NUCQV,1,2023-09-30,101.25,3135.67,24
3754-DXMRT,1,2023-09-30,44.15,179.97,2
7130-VTEWQ,1,2023-09-30,75.75,716.65,8
7903-CMPEY,1,2023-09-30,80.3,97.81,1
1704-NRWYE,1,2023-09-30,80.85,1141.71,9
7481-ATQQS,1,2023-09-30,90.85,6714.970000000001,49
0023-HGHWL,1,2023-09-30,25.1,25.1,1
1792-UXAFY,1,2023-09-30,89.15,2013.19,17
6161-UUUTA,1,2023-09-30,79.9,269.84,3
6543-XRMYR,1,2023-09-30,99.7,4355.65,30
2479-BRAMR,1,2023-09-30,83.75,5152.99,41
3714-JTVOV,1,2023-09-30,74.15,3351.2000000000003,42
8580-QVLOC,1,2023-09-30,92.45,8295.69,72
2012-NWRPA,1,2023-09-30,99.55,1145.28,11
8808-ELEHO,1,2023-09-30,81.25,626.11,8
9058-CBREO,1,2023-09-30,50.55,73.11,1
8063-GBATB,1,2023-09-30,85.25,3128.84,27
1069-XAIEM,1,2023-09-30,85.05,101.42,1
6987-XQSJT,1,2023-09-30,79.5,6841.83,54
0722-TROQR,1,2023-09-30,74.9,426.67,4
6402-ZFPPI,1,2023-09-30,102.8,3572.7,25
9965-YOKZB,1,2023-09-30,83.85,880.51,9
0504-HHAPI,1,2023-09-30,88.3,2925.13,27
3791-LGQCY,1,2023-09-30,100.65,7711.41,56
8166-ZZTFS,1,2023-09-30,80.55,6697.3,66
2956-GGUCQ,1,2023-09-30,78.85,1821.45,24
2778-OCLGR,1,2023-09-30,39.1,971.3,24
7067-KSAZT,1,2023-09-30,106.25,8194.65,65
9300-AGZNL,1,2023-09-30,94.0,115.85,1
1112-CUNAO,1,2023-09-30,89.85,1489.15,15
3389-YGYAI,1,2023-09-30,105.5,1190.83,8
3070-DVEYC,1,2023-09-30,73.75,771.9499999999999,7
5707-ORNDZ,1,2023-09-30,54.55,516.1,9
8696-JKZNU,1,2023-09-30,76.25,3838.7000000000003,37
2055-PDADH,1,2023-09-30,70.4,211.48,3
2302-ANTDP,1,2023-09-30,117.45,7504.82,48
5233-GEEAX,1,2023-09-30,29.4,221.9,8
7137-RYLPP,1,2023-09-30,85.7,4895.72,37
3957-LXOLK,1,2023-09-30,106.15,3423.26,28
5281-BUZGT,1,2023-09-30,90.85,4026.58,36
2718-GAXQD,1,2023-09-30,46.0,350.12,4
3217-FZDMN,1,2023-09-30,94.45,784.63,8
7480-QNVZJ,1,2023-09-30,95.7,5762.7,50
7124-UGSUR,1,2023-09-30,104.4,8546.71,61
1862-SKORY,1,2023-09-30,39.3,1637.4,40
4816-JBHOV,1,2023-09-30,44.7,176.56,2
3247-ZVOUO,1,2023-09-30,85.55,911.85,10
1268-ASBGA,1,2023-09-30,85.35,1534.0300000000002,16
4713-LZDRV,1,2023-09-30,79.6,258.87,2
4325-NFSKC,1,2023-09-30,90.6,2194.2799999999997,19
6502-HCJTI,1,2023-09-30,94.7,741.0,7
8258-GSTJK,1,2023-09-30,77.0,382.77,3
2995-UPRYS,1,2023-09-30,99.2,4852.6,40
6686-YPGHK,1,2023-09-30,85.5,5811.56,47
8020-BWHYL,1,2023-09-30,75.3,1267.3,15
6892-XPFPU,1,2023-09-30,104.25,3628.1400000000003,24
8010-EZLOU,1,2023-09-30,80.2,1398.45,15
8062-YBDOE,1,2023-09-30,69.65,76.88000000000001,1
3672-YITQD,1,2023-09-30,84.1,4161.0,36
8988-ECPJR,1,2023-09-30,79.6,3596.86,34
3776-EKTKM,1,2023-09-30,36.45,36.45,1
0643-OKLRP,1,2023-09-30,80.35,5716.42,47
9381-NDKME,1,2023-09-30,40.65,933.3,24
8327-LZKAS,1,2023-09-30,107.55,5269.0199999999995,43
1075-BGWOH,1,2023-09-30,98.75,1830.11,16
8485-GJCDN,1,2023-09-30,69.05,468.75,5
6029-WTIPC,1,2023-09-30,101.1,5152.27,37
3317-HRTNN,1,2023-09-30,45.7,198.0,5
5569-OUICF,1,2023-09-30,101.3,3272.24,28
5747-PMBSQ,1,2023-09-30,92.5,1145.3,10
2982-IHMFT,1,2023-09-30,74.45,114.06,1
5143-EGQFK,1,2023-09-30,29.65,401.4,10
6168-WFVVF,1,2023-09-30,70.3,252.12,3
7450-NWRTR,1,2023-09-30,99.45,1462.8300000000002,12
6005-OBZPH,1,2023-09-30,89.15,2513.9900000000002,26
7932-WPTDS,1,2023-09-30,24.8,24.8,1
7000-WCEVQ,1,2023-09-30,61.6,1716.55,20
5959-BELXA,1,2023-09-30,96.15,3833.65,32
2506-TNFCO,1,2023-09-30,69.55,82.00999999999999,1
6060-DRTNL,1,2023-09-30,84.85,572.3,5
8473-VUVJN,1,2023-09-30,73.65,113.53,1
0196-VULGZ,1,2023-09-30,84.35,647.16,6
1976-CFOCS,1,2023-09-30,46.0,53.74,1
4631-OACRM,1,2023-09-30,79.4,1414.55,15
3755-JBMNH,1,2023-09-30,71.8,1902.1999999999998,16
6345-ULYRW,1,2023-09-30,88.4,4996.18,44
0013-EXCHZ,1,2023-09-30,83.9,289.53999999999996,3
5550-VFRLC,1,2023-09-30,69.85,153.3,1
2657-ALMWY,1,2023-09-30,84.95,2644.51,26
6284-AHOOQ,1,2023-09-30,90.5,2925.02,22
2460-FPSYH,1,2023-09-30,55.8,2189.35,40
5028-HTLJB,1,2023-09-30,20.05,39.92,1
0875-CABNR,1,2023-09-30,84.6,1034.05,10
6982-UQZLY,1,2023-09-30,20.85,43.71,1
0193-ESZXP,1,2023-09-30,105.5,7188.02,58
4369-HTUIF,1,2023-09-30,85.15,680.0600000000001,6
5287-QWLKY,1,2023-09-30,105.1,10718.96,71
1891-UAWWU,1,2023-09-30,90.8,2046.4,20
3096-JRDSO,1,2023-09-30,104.3,3142.88,27
2398-YPMUR,1,2023-09-30,70.15,1498.93,13
1265-XTECC,1,2023-09-30,96.55,6716.54,68
4871-JTKJF,1,2023-09-30,69.65,100.78,1
1415-YFWLT,1,2023-09-30,89.3,119.53,1
3500-RMZLT,1,2023-09-30,96.3,1863.4,15
2642-DTVCO,1,2023-09-30,85.05,886.12,9
1363-TXLSL,1,2023-09-30,70.3,109.4,1
7136-RVDTZ,1,2023-09-30,45.25,3264.45,70
6927-WTFIV,1,2023-09-30,71.3,1503.4,20
3398-ZOUAA,1,2023-09-30,69.1,1889.29,21
4844-JJWUY,1,2023-09-30,86.0,114.82,1
4785-QRJHC,1,2023-09-30,59.9,2966.65,46
1965-AKTSX,1,2023-09-30,78.95,1330.8899999999999,14
7248-VZQLC,1,2023-09-30,85.2,4760.36,47
0011-IGKFF,1,2023-09-30,98.0,1599.51,13
6496-SLWHQ,1,2023-09-30,105.0,400.74,3
9912-GVSEQ,1,2023-09-30,93.85,2622.83,26
5383-MMTWC,1,2023-09-30,84.0,981.8,8
6877-LGWXO,1,2023-09-30,78.55,1512.2900000000002,18
5167-GBFRE,1,2023-09-30,25.2,102.5,4
1324-NLTJE,1,2023-09-30,55.0,1014.95,15
5567-WSELE,1,2023-09-30,94.6,376.48,3
6646-VRFOL,1,2023-09-30,103.85,7571.58,53
9090-SGQXL,1,2023-09-30,105.3,10507.21,68
6595-YGXIT,1,2023-09-30,88.95,3482.7,25
9835-ZIITK,1,2023-09-30,110.85,10717.17,66
5649-TJHOV,1,2023-09-30,36.5,1062.0,27
9253-QXKBE,1,2023-09-30,94.45,2834.9,29
8775-LHDJH,1,2023-09-30,90.6,103.61999999999999,1
3097-NQYSN,1,2023-09-30,86.85,204.73,2
3565-UNOCC,1,2023-09-30,99.05,3600.42,29
9190-MFJLN,1,2023-09-30,95.9,2400.53,19
1095-JUDTC,1,2023-09-30,95.05,5172.89,47
5385-SUIRI,1,2023-09-30,104.2,7523.55,52
6328-ZPBGN,1,2023-09-30,95.15,1037.47,11
2856-NNASM,1,2023-09-30,89.55,5538.91,43
6769-DYBQN,1,2023-09-30,85.0,5661.280000000001,46
2446-BEGGB,1,2023-09-30,98.25,844.7,6
1496-GGSUK,1,2023-09-30,25.7,25.7,1
3296-SILRA,1,2023-09-30,76.4,117.56,1
5180-UCIIQ,1,2023-09-30,40.05,880.2,22
1977-STDKI,1,2023-09-30,73.0,93.55,1
5813-UECBU,1,2023-09-30,83.85,3987.79,33
4342-HENTK,1,2023-09-30,70.65,167.39,2
1597-LHYNC,1,2023-09-30,95.0,3795.58,26
8651-ENBZX,1,2023-09-30,106.0,8614.8,60
9286-DOJGF,1,2023-09-30,74.95,3469.49,38
9661-MHUMO,1,2023-09-30,49.25,57.63,1
8884-ADFVN,1,2023-09-30,101.95,943.47,7
2720-WGKHP,1,2023-09-30,94.0,223.67999999999998,2
9776-CLUJA,1,2023-09-30,77.5,4718.72,51
3551-HUAZH,1,2023-09-30,74.4,85.48,1
8634-MPHTR,1,2023-09-30,100.05,5292.64,47
2474-BRUCM,1,2023-09-30,101.85,4200.3,40
0616-ATFGB,1,2023-09-30,25.05,25.05,1
7235-NXZCP,1,2023-09-30,74.85,247.22,2
6661-HBGWL,1,2023-09-30,104.75,5004.69,42
9317-WZPGV,1,2023-09-30,79.75,248.66000000000003,2
3621-CEOVK,1,2023-09-30,100.2,2027.94,14
7632-MNYOY,1,2023-09-30,110.9,8085.45,66
9248-OJYKK,1,2023-09-30,76.45,90.29,1
3398-FSHON,1,2023-09-30,91.3,1502.62,12
3319-DWOEP,1,2023-09-30,95.75,861.15,6
0818-OCPZO,1,2023-09-30,81.45,3280.62,27
1389-CXMLU,1,2023-09-30,91.05,368.06000000000006,3
5561-NWEVX,1,2023-09-30,79.2,208.31,2
2272-QAGFO,1,2023-09-30,74.3,1587.23,14
3768-NLUBH,1,2023-09-30,100.6,8145.85,57
7359-SSBJK,1,2023-09-30,70.2,6344.68,64
0685-MLYYM,1,2023-09-30,70.75,174.57,2
7957-RYHQD,1,2023-09-30,79.2,5028.25,40
6230-BSUXY,1,2023-09-30,85.0,127.5,1
3990-QYKBE,1,2023-09-30,92.5,5300.09,37
9274-CNFMO,1,2023-09-30,74.95,421.14,4
3005-NFMTA,1,2023-09-30,98.8,6108.9,55
5389-FFVKB,1,2023-09-30,80.3,2549.61,32
8444-WRIDW,1,2023-09-30,80.45,8373.29,66
5868-YWPDW,1,2023-09-30,84.2,761.79,6
1273-MTETI,1,2023-09-30,88.85,423.89,4
5480-HPRRX,1,2023-09-30,25.3,77.75,3
7234-FECYN,1,2023-09-30,101.35,1132.34,8
1400-MMYXY,1,2023-09-30,105.9,458.54999999999995,3
7142-HVGBG,1,2023-09-30,103.0,5163.79,43
1564-NTYXF,1,2023-09-30,82.0,1185.05,13
0886-QGENL,1,2023-09-30,101.25,3991.59,27
8739-WWKDU,1,2023-09-30,89.5,2657.65,25
8685-WHQPW,1,2023-09-30,74.4,1804.58,22
7240-FQLHE,1,2023-09-30,99.75,2291.11,18
6664-FPDAC,1,2023-09-30,111.95,7508.66,56
0786-VSSUD,1,2023-09-30,39.0,679.85,16
6583-QGCSI,1,2023-09-30,88.05,6323.35,50
1980-KXVPM,1,2023-09-30,75.05,327.71000000000004,3
0723-DRCLG,1,2023-09-30,74.45,115.72,1
